id,vendor_name,account_number,gst_number,address,email,phone,,,company_name,contact_person,pan_number,city,state,pincode,country,alternate_phone,bank_name,bank_account_number,ifsc_code,branch_name,vendor_type,payment_terms,credit_limit,is_active,notes
1,Auburn Institute of Maritime Training,NULL,NULL,"B-408, GREAT EASTERN SUMMIT, SECTOR 15, CBD BELAPUR, NAVI MUMBAI",certificate@auburninstitute.com,+91-22-4974 4800,,,AIMS MARITIME,Certificate Department,NULL,Navi Mumbai,Maharashtra,400614,India,+91 9870426846,NULL,NULL,NULL,NULL,TRAINING_INSTITUTE,NULL,0,TRUE,Maritime Training Institute
2,Asha International Institute of Marine Technology,NULL,NULL,"3rd floor, Citi Tower, C Wing, Sector 15, CBD Belapur",aiimtmumbai@aiimtvns.com,1800 102 2066,,,ASHA MARINE,Training Department,NULL,Navi Mumbai,Maharashtra,400614,India,NULL,NULL,NULL,NULL,NULL,TRAINING_INSTITUTE,NULL,0,TRUE,Marine Technology Institute
3,Management of Certification Services & Training Academy Foundation,NULL,NULL,"Office No F42, Haware Fantasia Business Park, Plot No 47, Sector 30A, Vashi",info@mocataf.org,+91 22 2781 9514,,,BDI OFFSHORE,Ruchi Singh,NULL,Navi Mumbai,Maharashtra,400703,India,8291079323,NULL,NULL,NULL,NULL,CERTIFICATION_SERVICES,NULL,0,TRUE,Certification Services & Training
4,Consulate General of Panama,NULL,NULL,"7th Floor Apeejay House, Dinsha Vacha Rd, Churchgate",pconsulate@gmail.com,022 6907 4040,,,Consulate General of Panama,Consulate Officer,NULL,Mumbai,Maharashtra,400020,India,91 9867796268,NULL,4.09001E+11,NULL,NULL,GOVERNMENT,NULL,0,TRUE,Panama Consulate Services
5,Coral Nautical Ventures LLP,NULL,NULL,"Unit No. 07, The Great Eastern Galleria, Sector-04, Plot No 20, Nerul West",docs.panamacourses@gmail.com,88799 95757,,,CORAL,Documentation Team,NULL,Navi Mumbai,Maharashtra,400706,India,NULL,NULL,2.01004E+11,NULL,NULL,NAUTICAL_SERVICES,NULL,0,TRUE,Nautical Ventures & Panama Courses
6,D I Marine,NULL,NULL,Belapur,dimarine2025@gmail.com,9198198 42497,,,DI MARINE,Marine Officer,NULL,Navi Mumbai,Maharashtra,NULL,India,NULL,NULL,9.2302E+14,NULL,NULL,MARINE_SERVICES,NULL,0,TRUE,Marine Services Provider
7,Girik Institute of Maritime Studies,NULL,NULL,"Office No. 126, 1st Floor, B-Wing, Sai Chamber, Sec-11, CBD Belapur",info@girikworld.com,91-8828102576,,,GIRIK,Institute Admin,NULL,Navi Mumbai,Maharashtra,400614,India,NULL,NULL,1.83102E+14,NULL,NULL,TRAINING_INSTITUTE,NULL,0,TRUE,Maritime Studies Institute
8,Global Maritime Consultants Group,NULL,NULL,"707, One Platinum, Plot No 8, Sector 15, CBD Belapur",seafarers.india@gmcg.global,NULL,,,GMCG,Consultant,NULL,Navi Mumbai,Maharashtra,400614,India,NULL,NULL,NULL,NULL,NULL,CONSULTANT,NULL,0,TRUE,Maritime Consultancy Services
9,Gurna Shipping Company,NULL,NULL,"A-402, Platinum Palazzo, Plot No. 15, Sector 24, Khandeshwar",gurnashippingcompany2@gmail.com,98190 99266,,,GURNA,Shipping Manager,NULL,Navi Mumbai,Maharashtra,410206,India,NULL,NULL,NULL,NULL,NULL,SHIPPING_COMPANY,NULL,0,TRUE,Shipping Services
10,Joe Mascarenhas,NULL,NULL,Goa,NULL,83780 90429,,,JOE GOA,Joe Mascarenhas,NULL,Goa,Goa,NULL,India,NULL,NULL,NULL,NULL,NULL,INDIVIDUAL_CONTRACTOR,NULL,0,TRUE,Individual Service Provider - GPay: 83780 90429
